"rank","code","code_orig","count","source"
"204","TB8703","TB8703","1373","https://stats.lineageos.org/"
"205","gtexslte","gtexslte","1364","https://stats.lineageos.org/"
"206","dream2lte","dream2lte","1361","https://stats.lineageos.org/"
"207","gtaxlwifi","gtaxlwifi","1359","https://stats.lineageos.org/"
"208","m2note","m2note","1352","https://stats.lineageos.org/"
"209","lt03lte","lt03lte","1352","https://stats.lineageos.org/"
"210","j5nlte","j5nlte","1342","https://stats.lineageos.org/"
"211","a3xelte","a3xelte","1312","https://stats.lineageos.org/"
"212","ghost","ghost","1294","https://stats.lineageos.org/"
"213","leland","leland","1292","https://stats.lineageos.org/"
"214","a5xelte","a5xelte","1288","https://stats.lineageos.org/"
"215","merlin","merlin","1281","https://stats.lineageos.org/"
"216","kanas","kanas","1276","https://stats.lineageos.org/"
"217","pollux_windy","pollux_windy","1269","https://stats.lineageos.org/"
"218","js01lte","js01lte","1251","https://stats.lineageos.org/"
"219","scorpio","scorpio","1246","https://stats.lineageos.org/"
"220","ferrari","ferrari","1242","https://stats.lineageos.org/"
"221","otus","otus","1221","https://stats.lineageos.org/"
"222","w7","w7","1218","https://stats.lineageos.org/"
"223","core33g","core33g","1209","https://stats.lineageos.org/"
"224","fajita","fajita","1203","https://stats.lineageos.org/"
"225","hi6250","hi6250","1187","https://stats.lineageos.org/"
"226","Z010D","Z010D","1184","https://stats.lineageos.org/"
"227","h930","h930","1183","https://stats.lineageos.org/"
"228","r9s","r9s","1159","https://stats.lineageos.org/"
"229","honami","honami","1155","https://stats.lineageos.org/"
"230","perry","perry","1150","https://stats.lineageos.org/"
"231","a3lte","a3lte","1145","https://stats.lineageos.org/"
"232","matissewifi","matissewifi","1110","https://stats.lineageos.org/"
"233","a5ulte","a5ultexx","1110","https://stats.lineageos.org/"
"234","hannah","hannah","1082","https://stats.lineageos.org/"
"235","to_j3xnlte","to_j3xnlte","1080","https://stats.lineageos.org/"
"236","jalebi","jalebi","1076","https://stats.lineageos.org/"
"237","k3g","k3gxx","1069","https://stats.lineageos.org/"
"238","a3xelte","a3xeltexx","1068","https://stats.lineageos.org/"
"239","klimtlte","klimtlte","1066","https://stats.lineageos.org/"
"240","j53g","j53gxx","1062","https://stats.lineageos.org/"
"241","d2att","d2att","1056","https://stats.lineageos.org/"
"242","X01BD","X01BD","1055","https://stats.lineageos.org/"
"243","w5","w5","1043","https://stats.lineageos.org/"
"244","sirius","sirius","1042","https://stats.lineageos.org/"
"245","wt86528","wt86528","1036","https://stats.lineageos.org/"
"246","X3","X3","1031","https://stats.lineageos.org/"
"247","le_x620","le_x620","1020","https://stats.lineageos.org/"
"248","lt013g","lt013g","1018","https://stats.lineageos.org/"
"249","z3c","z3c","1013","https://stats.lineageos.org/"
"250","g2m","g2m","1008","https://stats.lineageos.org/"
